asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
qgiq-jqkw,,,"Public Instruction, Office of Superintendent of (OSPI)",
2szm-pwhs,,,"Public Instruction, Office of Superintendent of (OSPI)",
msv2-8gcv,,,"Enterprise Services, Department of (DES)",
iqzi-x7y8,,,"Public Instruction, Office of Superintendent of (OSPI)",
k6y3-rdvv,,,"Public Instruction, Office of Superintendent of (OSPI)",
fpng-2inw,,,"Public Instruction, Office of Superintendent of (OSPI)",
fci6-869y,r5ki-dmfz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Criminal Justice Training Commission, Washington State (CJTC)"
ctek-cgfa,fgyz-n3uk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
v2re-3577,,,"Public Instruction, Office of Superintendent of (OSPI)",
42q4-3tui,,,"Public Instruction, Office of Superintendent of (OSPI)",
mej3-gq8r,,,"Public Instruction, Office of Superintendent of (OSPI)",
5z4n-r46u,,,"Public Instruction, Office of Superintendent of (OSPI)",
n5jc-fqqw,,,"Public Instruction, Office of Superintendent of (OSPI)",
4qix-7v3e,,,"Children, Youth, and Families, Department of (DCYF)",
gqe3-ae5u,,,"Public Instruction, Office of Superintendent of (OSPI)",
fdgh-dn3z,,,Asotin County Library,
gr8e-uicp,,,"Public Instruction, Office of Superintendent of (OSPI)",
rmzg-svw3,,,"Public Instruction, Office of Superintendent of (OSPI)",
yte3-3baw,sb4j-ca4h,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
jkzu-f2ez,,,"Public Instruction, Office of Superintendent of (OSPI)",
eawc-zx8r,r5ki-dmfz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Criminal Justice Training Commission, Washington State (CJTC)"
g772-6jge,,,"Public Instruction, Office of Superintendent of (OSPI)",
7umj-8mgw,,,"Public Instruction, Office of Superintendent of (OSPI)",
6nj4-itjw,fgyz-n3uk,dataset,"Ecology, Department of (ECY)","Fish and Wildlife, Department of (DFW)"
ixk4-hes2,,,"Public Instruction, Office of Superintendent of (OSPI)",
vruy-tak6,,,"Public Instruction, Office of Superintendent of (OSPI)",
7sdq-j3nw,,,"Public Instruction, Office of Superintendent of (OSPI)",
b5u2-r6nr,,,"Public Instruction, Office of Superintendent of (OSPI)",
jkwc-bfhi,,,"Public Instruction, Office of Superintendent of (OSPI)",
atfn-6agr,,,"Public Instruction, Office of Superintendent of (OSPI)",
9vps-urbr,,,"Health, Department of (DOH)",
admf-rckx,,,"Enterprise Services, Department of (DES)",
fwwg-2hvp,,,"Public Instruction, Office of Superintendent of (OSPI)",
akp4-ffcb,,,"Public Instruction, Office of Superintendent of (OSPI)",
bnus-5qhi,,,"Public Instruction, Office of Superintendent of (OSPI)",
ypdi-nwrw,,,Asotin County Library,
y68d-3x9z,,,"Public Instruction, Office of Superintendent of (OSPI)",
kcbt-thyp,,,"Public Instruction, Office of Superintendent of (OSPI)",
6i5s-hwtv,,,"Public Instruction, Office of Superintendent of (OSPI)",
5amp-vxtk,,,"Public Instruction, Office of Superintendent of (OSPI)",
pxpn-hgrc,uie2-nw4g,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
52g8-dk9u,,,"Public Instruction, Office of Superintendent of (OSPI)",
d46r-vbth,,,"Public Instruction, Office of Superintendent of (OSPI)",
rd2t-k8at,,,"Public Instruction, Office of Superintendent of (OSPI)",
k9tt-kapc,,,"Public Instruction, Office of Superintendent of (OSPI)",
8ht9-4w2k,,,"Public Instruction, Office of Superintendent of (OSPI)",
6fbr-uk73,,,"Public Instruction, Office of Superintendent of (OSPI)",
qf3t-x37u,,,"Public Instruction, Office of Superintendent of (OSPI)",
ixud-2vds,,,"Licensing, Department of (DOL)",
7cn2-dw2y,,,"Public Instruction, Office of Superintendent of (OSPI)",
43y2-wyfx,,,"Public Instruction, Office of Superintendent of (OSPI)",
i257-86ei,,,"Public Instruction, Office of Superintendent of (OSPI)",
bc9i-nv2p,,,"Public Instruction, Office of Superintendent of (OSPI)",
v2bu-wuqu,hn4a-bdxf,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington Student Achievement Council (WSAC)
69c7-56yy,,,"Public Instruction, Office of Superintendent of (OSPI)",
gtfi-892t,r5ki-dmfz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Criminal Justice Training Commission, Washington State (CJTC)"
t3aj-g49z,,,"Public Instruction, Office of Superintendent of (OSPI)",
q2xu-i7w2,,,"Accountancy, State Board of (WBOA)(ACB)",
a5ab-2tqs,,,"Public Instruction, Office of Superintendent of (OSPI)",
uiri-5za2,,,"Public Instruction, Office of Superintendent of (OSPI)",
fsei-reyr,,,"Public Instruction, Office of Superintendent of (OSPI)",
6v64-c3tj,,,"Public Instruction, Office of Superintendent of (OSPI)",
jppe-gg38,,,"Public Instruction, Office of Superintendent of (OSPI)",
5tug-66ap,,,"Public Instruction, Office of Superintendent of (OSPI)",
bsuy-g8bx,,,"Licensing, Department of (DOL)",
sfmv-76u4,,,"Public Instruction, Office of Superintendent of (OSPI)",
jpj5-9c9n,,,"Public Instruction, Office of Superintendent of (OSPI)",
hiu7-nzhz,,,Asotin County Library,
3i7r-8id6,,,"Public Instruction, Office of Superintendent of (OSPI)",
fnja-dbdb,,,"Public Instruction, Office of Superintendent of (OSPI)",
nnky-xtde,,,"Public Instruction, Office of Superintendent of (OSPI)",
h7qg-v3ae,,,"Public Instruction, Office of Superintendent of (OSPI)",
jpsg-gf9y,3b7q-74f4,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
svfg-a3ba,,,"Public Instruction, Office of Superintendent of (OSPI)",
526x-m8qu,,,"Labor & Industries, Department of (LNI)",
e3yp-ncxe,,,"Public Instruction, Office of Superintendent of (OSPI)",
crgg-jwgt,,,"Public Instruction, Office of Superintendent of (OSPI)",
hkej-sset,,,"Public Instruction, Office of Superintendent of (OSPI)",
8qgd-9hva,,,"Public Instruction, Office of Superintendent of (OSPI)",
c2fj-zern,,,"Labor & Industries, Department of (LNI)",
dky2-4r3w,,,"Ecology, Department of (ECY)",
vzsg-dfij,,,"Public Instruction, Office of Superintendent of (OSPI)",
nk2b-he5k,,,"Public Instruction, Office of Superintendent of (OSPI)",
wyne-pb44,,,"Public Instruction, Office of Superintendent of (OSPI)",
8zs8-t43h,,,"Public Instruction, Office of Superintendent of (OSPI)",
raa5-89rw,,,"Public Instruction, Office of Superintendent of (OSPI)",
crdv-eh3y,,,"Public Instruction, Office of Superintendent of (OSPI)",
ybcy-ff5a,,,"Public Instruction, Office of Superintendent of (OSPI)",
qsq4-2ikv,,,"Public Instruction, Office of Superintendent of (OSPI)",
f7e5-kx78,,,"Public Instruction, Office of Superintendent of (OSPI)",
j3ub-kqt3,,,"Public Instruction, Office of Superintendent of (OSPI)",
jerk-mw5f,,,"Public Instruction, Office of Superintendent of (OSPI)",
c4ab-ruqx,,,"Public Instruction, Office of Superintendent of (OSPI)",
g3gr-88bh,,,"Public Instruction, Office of Superintendent of (OSPI)",
vd2t-ic87,,,"Public Instruction, Office of Superintendent of (OSPI)",
af6k-cve6,,,"Public Instruction, Office of Superintendent of (OSPI)",
23hx-y9jw,,,,
58ks-k4z3,,,"Public Instruction, Office of Superintendent of (OSPI)",
huwq-t84x,,,"Public Instruction, Office of Superintendent of (OSPI)",
23pu-ajte,,,"Public Instruction, Office of Superintendent of (OSPI)",
m4ex-3ruv,,,"Public Instruction, Office of Superintendent of (OSPI)",
tc5x-8n7d,,,"Public Instruction, Office of Superintendent of (OSPI)",
gbf6-g848,,,Asotin County Library,
p6et-w7xc,,,"Public Instruction, Office of Superintendent of (OSPI)",
qg3t-ggc6,,,"Public Instruction, Office of Superintendent of (OSPI)",
x69e-u77f,,,"Labor & Industries, Department of (LNI)",
b2xg-wcas,,,"Public Instruction, Office of Superintendent of (OSPI)",
eqm6-4iu5,,,Asotin County Library,
em8e-8kyx,,,"Public Instruction, Office of Superintendent of (OSPI)",
axnc-3mja,,,"Public Instruction, Office of Superintendent of (OSPI)",
mceu-zqex,trbk-6ezf,dataset,"Secretary of State, Office of the (SECSTATE)",Other external user
93dh-s58f,,,"Public Instruction, Office of Superintendent of (OSPI)",
vy58-2q96,,,"Public Instruction, Office of Superintendent of (OSPI)",
ssgv-eewm,8xjw-yrdy,dataset,Timberland Regional Library,"Licensing, Department of (DOL)"
ysuy-uh3t,,,"Public Instruction, Office of Superintendent of (OSPI)",
wmxz-94gf,,,"Ecology, Department of (ECY)",
7gnf-4zs9,,,"Public Instruction, Office of Superintendent of (OSPI)",
fb6g-mcqx,,,"Public Instruction, Office of Superintendent of (OSPI)",
md3s-bmfa,,,"Labor & Industries, Department of (LNI)",
f7ax-bcd9,,,"Public Instruction, Office of Superintendent of (OSPI)",
wi4d-7czy,,,"Public Instruction, Office of Superintendent of (OSPI)",
rmhe-mn9a,,,"Public Instruction, Office of Superintendent of (OSPI)",
6f8e-v9h8,,,"Accountancy, State Board of (WBOA)(ACB)",
jss9-5bsp,,,Washington State Technology Solutions (CTS),
in55-r2cm,,,"Children, Youth, and Families, Department of (DCYF)",
nanm-rkad,,,"Public Instruction, Office of Superintendent of (OSPI)",
dvby-hyi6,,,"Public Instruction, Office of Superintendent of (OSPI)",
xikg-z8tb,,,"Public Instruction, Office of Superintendent of (OSPI)",
7fiz-2unw,,,"Public Instruction, Office of Superintendent of (OSPI)",
yj9m-kxyg,,,"Public Instruction, Office of Superintendent of (OSPI)",
h2fn-9zmm,,,"Public Instruction, Office of Superintendent of (OSPI)",
bhqz-yv73,sb4j-ca4h,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
uuu2-quai,,,"Public Instruction, Office of Superintendent of (OSPI)",
eutg-294g,,,"Public Instruction, Office of Superintendent of (OSPI)",
s457-hsf5,,,"Public Instruction, Office of Superintendent of (OSPI)",
pz2c-tiui,,,"Public Instruction, Office of Superintendent of (OSPI)",
8ewp-xtgm,,,"Public Instruction, Office of Superintendent of (OSPI)",
fyvw-te27,,,"Public Instruction, Office of Superintendent of (OSPI)",
xkgd-4key,pchc-4957,dataset,"Financial Management, Office of (OFM)",Washington State Technology Solutions (CTS)
59z5-2b83,,,"Public Instruction, Office of Superintendent of (OSPI)",
k337-y9cx,,,"Financial Management, Office of (OFM)",
v9nq-4hzy,8xjw-yrdy,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
qawb-ju9y,474k-69jd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
ja54-ddzj,,,"Enterprise Services, Department of (DES)",
usce-r7it,pchc-4957,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
23ir-7y9z,,,,
2x4x-bzqs,,,"Public Instruction, Office of Superintendent of (OSPI)",
cnur-mzu7,padd-mby7,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
wsf5-hfcq,,,"Public Instruction, Office of Superintendent of (OSPI)",
qm8k-skfy,,,"Public Instruction, Office of Superintendent of (OSPI)",
jj6q-uhgm,,,"Public Instruction, Office of Superintendent of (OSPI)",
n25s-2gfv,,,"Financial Management, Office of (OFM)",
ebns-iw25,sb4j-ca4h,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
ah2t-f23u,,,"Arts Commission, Washington State (ARTSWA)",
gdw2-xjei,,,Washington State Technology Solutions (CTS),
nm85-8jz2,,,"Public Instruction, Office of Superintendent of (OSPI)",
fugi-fp5y,,,"Public Instruction, Office of Superintendent of (OSPI)",
wadq-7gx7,,,Other external user,
474k-69jd,,,"Health, Department of (DOH)",
7d9f-7aqw,6ukv-n3hz,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
r7i3-n9ww,,,Washington State Technology Solutions (CTS),
jfpr-sqw2,,,"Enterprise Services, Department of (DES)",
rjni-hn6s,,,"Public Instruction, Office of Superintendent of (OSPI)",
kksk-q3xq,wu7y-rbw5,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
dq42-mbvq,,,Asotin County Library,
akrc-g6te,,,"Public Instruction, Office of Superintendent of (OSPI)",
yuhf-k74t,4j29-snvr,dataset,Asotin County Library,Washington State Technology Solutions (CTS)
u78a-5kge,,,"Public Instruction, Office of Superintendent of (OSPI)",
pnmb-rq7m,,,"Public Instruction, Office of Superintendent of (OSPI)",
59cw-kpf6,,,"Public Instruction, Office of Superintendent of (OSPI)",
rjn3-nr4c,,,"Public Instruction, Office of Superintendent of (OSPI)",
rcec-xuv3,,,"Public Instruction, Office of Superintendent of (OSPI)",
7w96-mhxh,,,"Labor & Industries, Department of (LNI)",
8erc-kagh,,,"Public Instruction, Office of Superintendent of (OSPI)",
ezjy-9add,,,Asotin County Library,
mcsf-deei,,,"Labor & Industries, Department of (LNI)",
yaag-7vv4,,,"Public Instruction, Office of Superintendent of (OSPI)",
pmkr-qpv2,,,"Public Instruction, Office of Superintendent of (OSPI)",
nbd2-vdmz,,,"Fish and Wildlife, Department of (DFW)",
stvb-59gv,,,Timberland Regional Library,
6hqx-bq4r,uc69-gudu,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Financial Management, Office of (OFM)"
9fiu-w56f,gdw2-uv4h,dataset,Kennewick School District,Washington State Technology Solutions (CTS)
gajg-59vp,,,Asotin County Library,
sedr-qag9,,,"Public Instruction, Office of Superintendent of (OSPI)",
7bjm-ze6e,,,"Public Instruction, Office of Superintendent of (OSPI)",
rtpa-hmyk,,,Asotin County Library,
fuyr-sk5y,6ukv-n3hz,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
23r3-takf,,,"Public Instruction, Office of Superintendent of (OSPI)",
xmqf-m84r,,,"Financial Management, Office of (OFM)",
en9q-sjg3,hfk5-3b7j,dataset,"Health, Department of (DOH)","Licensing, Department of (DOL)"
pq8j-eip9,4j29-snvr,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
3xze-cz2v,,,Washington State Technology Solutions (CTS),
2sz6-xb52,,,"Labor & Industries, Department of (LNI)",
94yr-7wu3,,,"Public Instruction, Office of Superintendent of (OSPI)",
f8kb-pm6f,8xjw-yrdy,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
s7mu-5tar,,,"Labor & Industries, Department of (LNI)",
8ucq-qtbx,,,"Public Instruction, Office of Superintendent of (OSPI)",
wpie-jqmr,sb4j-ca4h,dataset,"Salmon Recovery Office, Governor's (GSRO)","Attorney General, Office of the (ATG)"
nv8r-vvxm,,,Asotin County Library,
rjgh-459t,,,"Public Instruction, Office of Superintendent of (OSPI)",
ps5g-8xwz,,,"Public Instruction, Office of Superintendent of (OSPI)",
kvpz-3x8g,,,Public Disclosure Commission (PDC),
q28u-gfg9,,,"Accountancy, State Board of (WBOA)(ACB)",
v5gi-7up5,,,"Ecology, Department of (ECY)",
r7vx-2mx9,,,Washington State Technology Solutions (CTS),
ddf5-um4h,,,Asotin County Library,
simk-hq75,,,Asotin County Library,
2u3r-f6qd,,,Other external user,
6msp-em9n,,,"Public Instruction, Office of Superintendent of (OSPI)",
hcy2-er6w,,,"Public Instruction, Office of Superintendent of (OSPI)",
phsq-jp5d,,,Asotin County Library,
2rj5-ptr2,4m5j-xuvx,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
xtvb-fp5x,,,"Public Instruction, Office of Superintendent of (OSPI)",
7mfe-t4yt,,,"Financial Management, Office of (OFM)",
6ude-3axn,,,"Public Instruction, Office of Superintendent of (OSPI)",
bcyw-k8i3,,,"Enterprise Services, Department of (DES)",
uzyn-6uyv,,,"Public Instruction, Office of Superintendent of (OSPI)",
kad9-miyv,,,"Public Instruction, Office of Superintendent of (OSPI)",
b2ps-t85m,4j29-snvr,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
jhcx-fm3p,,,"Public Instruction, Office of Superintendent of (OSPI)",
y3tn-ibdf,,,Asotin County Library,
q8m6-gqe7,,,"Public Instruction, Office of Superintendent of (OSPI)",
uznp-4e86,cgha-fszd,dataset,Asotin County Library,"Health, Department of (DOH)"
6yx3-2uzn,,,"Public Instruction, Office of Superintendent of (OSPI)",
6mb5-yc25,whwr-9g8d,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
3s84-i55m,,,Public Disclosure Commission (PDC),
tubg-jxpb,,,"Ecology, Department of (ECY)",
knyv-bwnd,,,Asotin County Library,
fywc-6sq4,,,"Public Instruction, Office of Superintendent of (OSPI)",
9k9q-sdep,474k-69jd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
f3q5-345t,,,Asotin County Library,
iweb-th7m,ah2t-f23u,dataset,"Salmon Recovery Office, Governor's (GSRO)","Arts Commission, Washington State (ARTSWA)"
28pv-s4zc,3b7q-74f4,dataset,"Health, Department of (DOH)",Washington State Technology Solutions (CTS)
hg7z-ssbv,,,"Salmon Recovery Office, Governor's (GSRO)",
243c-rc9t,6ukv-n3hz,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
m2xg-tpsm,292v-tb9r,dataset,Recreation and Conservation Office (RCO),"Public Instruction, Office of Superintendent of (OSPI)"
ezdh-2dwm,,,Asotin County Library,
w8w9-ypqb,gevy-wn26,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
nzji-uwi7,9f5q-vk4q,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
8pxm-d86c,,,"Financial Management, Office of (OFM)",
pwse-3zea,,,"Enterprise Services, Department of (DES)",
77z9-qkba,,,"Public Instruction, Office of Superintendent of (OSPI)",
5c5e-xz7u,vq5s-hbqh,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
3biz-7njc,3b7q-74f4,dataset,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS)
gvwz-msv7,,,"Public Instruction, Office of Superintendent of (OSPI)",
9tng-8ua4,,,Recreation and Conservation Office (RCO),
8ixi-nj4n,,,"Public Instruction, Office of Superintendent of (OSPI)",
3fhb-3cnb,,,"Enterprise Services, Department of (DES)",
